March 2020 New Mexico County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","1901-2000 Mean","Anomaly (1901-2000 base period)"
NM-001,"Bernalillo County",61.6,102,57.2,4.4
NM-003,"Catron County",56.3,79,54.1,2.2
NM-005,"Chaves County",68.0,83,65.7,2.3
NM-006,"Cibola County",56.6,97,53.5,3.1
NM-007,"Colfax County",57.0,111,51.2,5.8
NM-009,"Curry County",64.3,86,61.4,2.9
NM-011,"De Baca County",65.8,88,63,2.8
NM-013,"Dona Ana County",68.5,76,66.6,1.9
NM-015,"Eddy County",69.5,70,67.9,1.6
NM-017,"Grant County",62.1,81,60.2,1.9
NM-019,"Guadalupe County",63.2,94,59.8,3.4
NM-021,"Harding County",62.2,92,58.9,3.3
NM-023,"Hidalgo County",67.4,69,66.4,1.0
NM-025,"Lea County",68.8,71,67,1.8
NM-027,"Lincoln County",62.8,92,59.6,3.2
NM-028,"Los Alamos County",52.8,100,49,3.8
NM-029,"Luna County",68.1,71,66.7,1.4
NM-031,"McKinley County",56.2,100,52.3,3.9
NM-033,"Mora County",56.3,103,51.7,4.6
NM-035,"Otero County",64.5,82,62.4,2.1
NM-037,"Quay County",64.8,85,62.4,2.4
NM-039,"Rio Arriba County",51.3,94,48.1,3.2
NM-041,"Roosevelt County",65.6,85,63,2.6
NM-043,"Sandoval County",57.5,101,53.8,3.7
NM-045,"San Juan County",57.2,91,54.7,2.5
NM-047,"San Miguel County",60.4,100,56.7,3.7
NM-049,"Santa Fe County",56.5,102,52.7,3.8
NM-051,"Sierra County",64.5,83,62.5,2.0
NM-053,"Socorro County",62.7,95,59.2,3.5
NM-055,"Taos County",49.6,106,45.2,4.4
NM-057,"Torrance County",59.0,102,54.9,4.1
NM-059,"Union County",61.4,105,56.2,5.2
NM-061,"Valencia County",64.2,100,60.5,3.7
