March 2020 New Mexico County Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","1901-2000 Mean","Anomaly (1901-2000 base period)"
NM-001,"Bernalillo County",34.2,122,28.4,5.8
NM-003,"Catron County",27.5,121,23,4.5
NM-005,"Chaves County",40.1,126,32.3,7.8
NM-006,"Cibola County",28.9,124,23.5,5.4
NM-007,"Colfax County",26.0,111,22,4.0
NM-009,"Curry County",38.5,126,30,8.5
NM-011,"De Baca County",38.7,125,31.1,7.6
NM-013,"Dona Ana County",42.1,123,36.1,6.0
NM-015,"Eddy County",44.3,125,35.9,8.4
NM-017,"Grant County",36.0,121,31.2,4.8
NM-019,"Guadalupe County",35.1,124,28.7,6.4
NM-021,"Harding County",33.6,121,27.5,6.1
NM-023,"Hidalgo County",38.0,117,33.8,4.2
NM-025,"Lea County",42.7,125,34.2,8.5
NM-027,"Lincoln County",34.2,121,28.9,5.3
NM-028,"Los Alamos County",30.0,123,24,6.0
NM-029,"Luna County",39.5,121,34.8,4.7
NM-031,"McKinley County",29.8,124,24.3,5.5
NM-033,"Mora County",27.8,122,22.5,5.3
NM-035,"Otero County",38.7,122,33.3,5.4
NM-037,"Quay County",39.0,125,30.7,8.3
NM-039,"Rio Arriba County",27.0,124,21.1,5.9
NM-041,"Roosevelt County",39.7,125,31.1,8.6
NM-043,"Sandoval County",31.0,124,25.2,5.8
NM-045,"San Juan County",31.4,120,26.5,4.9
NM-047,"San Miguel County",33.3,124,27.2,6.1
NM-049,"Santa Fe County",30.4,124,25,5.4
NM-051,"Sierra County",38.2,123,33,5.2
NM-053,"Socorro County",34.3,123,28.7,5.6
NM-055,"Taos County",25.7,125,19.9,5.8
NM-057,"Torrance County",30.8,123,25.3,5.5
NM-059,"Union County",30.3,113,25.6,4.7
NM-061,"Valencia County",35.3,123,29.3,6.0
