March 2020 New Mexico County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","1901-2000 Mean","Anomaly (1901-2000 base period)"
NM-001,"Bernalillo County",0.76,74,0.78,-0.02
NM-003,"Catron County",1.32,94,1.04,0.28
NM-005,"Chaves County",2.22,123,0.47,1.75
NM-006,"Cibola County",0.76,69,0.89,-0.13
NM-007,"Colfax County",0.56,42,0.95,-0.39
NM-009,"Curry County",1.55,115,0.64,0.91
NM-011,"De Baca County",1.27,114,0.54,0.73
NM-013,"Dona Ana County",1.27,123,0.32,0.95
NM-015,"Eddy County",2.08,123,0.38,1.7
NM-017,"Grant County",1.82,118,0.92,0.9
NM-019,"Guadalupe County",0.71,90,0.63,0.08
NM-021,"Harding County",0.3,52,0.6,-0.3
NM-023,"Hidalgo County",2.24,123,0.64,1.6
NM-025,"Lea County",2.4,123,0.5,1.9
NM-027,"Lincoln County",1.64,120,0.62,1.02
NM-028,"Los Alamos County",1.34,82,1.21,0.13
NM-029,"Luna County",1.33,121,0.41,0.92
NM-031,"McKinley County",0.77,75,0.84,-0.07
NM-033,"Mora County",0.69,57,1.02,-0.33
NM-035,"Otero County",2.0,124,0.51,1.49
NM-037,"Quay County",0.81,87,0.66,0.15
NM-039,"Rio Arriba County",1.24,68,1.43,-0.19
NM-041,"Roosevelt County",1.91,118,0.58,1.33
NM-043,"Sandoval County",0.84,71,0.87,-0.03
NM-045,"San Juan County",0.8,90,0.7,0.1
NM-047,"San Miguel County",0.71,77,0.81,-0.1
NM-049,"Santa Fe County",1.1,90,0.96,0.14
NM-051,"Sierra County",1.02,113,0.49,0.53
NM-053,"Socorro County",0.73,97,0.53,0.2
NM-055,"Taos County",1.33,66,1.51,-0.18
NM-057,"Torrance County",0.96,93,0.74,0.22
NM-059,"Union County",0.23,32,0.72,-0.49
NM-061,"Valencia County",0.62,90,0.57,0.05
