March 2020 Texas County Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","1901-2000 Mean","Anomaly (1901-2000 base period)"
TX-001,"Anderson County",74.1,111,68.5,5.6
TX-003,"Andrews County",70.7,77,68.9,1.8
TX-005,"Angelina County",76.2,119,70.2,6.0
TX-007,"Aransas County",79.2,126,71.1,8.1
TX-009,"Archer County",69.9,91,66.8,3.1
TX-011,"Armstrong County",66.4,99,62.2,4.2
TX-013,"Atascosa County",81.1,119,75.7,5.4
TX-015,"Austin County",78.8,125,71.8,7.0
TX-017,"Bailey County",66.6,86,63.6,3.0
TX-019,"Bandera County",75.4,100,72,3.4
TX-021,"Bastrop County",77.1,118,71.2,5.9
TX-023,"Baylor County",69.3,84,66.7,2.6
TX-025,"Bee County",83.0,126,74.5,8.5
TX-027,"Bell County",73.9,106,69.1,4.8
TX-029,"Bexar County",78.5,111,73.7,4.8
TX-031,"Blanco County",75.3,110,70.4,4.9
TX-033,"Borden County",69.6,73,68.1,1.5
TX-035,"Bosque County",73.3,110,67.9,5.4
TX-037,"Bowie County",70.1,104,65.9,4.2
TX-039,"Brazoria County",78.2,125,70.8,7.4
TX-041,"Brazos County",77.2,123,70.5,6.7
TX-043,"Brewster County",77.8,103,73.9,3.9
TX-045,"Briscoe County",67.3,86,64.1,3.2
TX-047,"Brooks County",86.2,124,77.9,8.3
TX-049,"Brown County",73.9,111,68.3,5.6
TX-051,"Burleson County",77.3,123,70.7,6.6
TX-053,"Burnet County",74.0,103,70.1,3.9
TX-055,"Caldwell County",77.6,118,72,5.6
TX-057,"Calhoun County",78.5,125,71,7.5
TX-059,"Callahan County",71.2,99,67.1,4.1
TX-061,"Cameron County",85.0,125,77.7,7.3
TX-063,"Camp County",71.0,104,66.2,4.8
TX-065,"Carson County",66.3,106,60.7,5.6
TX-067,"Cass County",71.0,102,66.9,4.1
TX-069,"Castro County",64.9,84,62.5,2.4
TX-071,"Chambers County",77.2,126,69.2,8.0
TX-073,"Cherokee County",75.1,118,68.9,6.2
TX-075,"Childress County",69.0,89,65.5,3.5
TX-077,"Clay County",70.0,98,66.4,3.6
TX-079,"Cochran County",67.0,83,64.6,2.4
TX-081,"Coke County",72.9,97,69.3,3.6
TX-083,"Coleman County",73.4,108,68.3,5.1
TX-085,"Collin County",69.8,103,65.3,4.5
TX-087,"Collingsworth County",66.7,85,63.6,3.1
TX-089,"Colorado County",79.5,125,72,7.5
TX-091,"Comal County",76.7,110,71.9,4.8
TX-093,"Comanche County",74.1,115,67.7,6.4
TX-095,"Concho County",73.4,101,69.5,3.9
TX-097,"Cooke County",68.9,98,65.7,3.2
TX-099,"Coryell County",73.4,109,68.2,5.2
TX-101,"Cottle County",69.6,86,66.4,3.2
TX-103,"Crane County",75.2,92,71.9,3.3
TX-105,"Crockett County",74.0,91,71.2,2.8
TX-107,"Crosby County",67.6,77,65.5,2.1
TX-109,"Culberson County",70.9,89,68.4,2.5
TX-111,"Dallam County",64.5,107,59.2,5.3
TX-113,"Dallas County",71.6,106,66.8,4.8
TX-115,"Dawson County",69.0,70,67.7,1.3
TX-117,"Deaf Smith County",64.7,95,61.2,3.5
TX-119,"Delta County",69.6,102,65,4.6
TX-121,"Denton County",70.4,101,66.6,3.8
TX-123,"DeWitt County",80.6,125,73.2,7.4
TX-125,"Dickens County",68.7,76,66.7,2.0
TX-127,"Dimmit County",83.1,118,77.1,6.0
TX-129,"Donley County",66.3,89,62.7,3.6
TX-131,"Duval County",84.2,124,76.8,7.4
TX-133,"Eastland County",72.4,106,67.2,5.2
TX-135,"Ector County",72.2,80,70,2.2
TX-137,"Edwards County",73.7,91,70.6,3.1
TX-139,"Ellis County",72.0,103,67.6,4.4
TX-141,"El Paso County",71.3,82,69,2.3
TX-143,"Erath County",73.9,116,67.2,6.7
TX-145,"Falls County",74.1,112,68.7,5.4
TX-147,"Fannin County",69.5,107,64.6,4.9
TX-149,"Fayette County",78.7,124,71.7,7.0
TX-151,"Fisher County",70.4,80,67.7,2.7
TX-153,"Floyd County",67.0,84,64.2,2.8
TX-155,"Foard County",69.3,87,66.2,3.1
TX-157,"Fort Bend County",79.4,125,71.7,7.7
TX-159,"Franklin County",69.8,99,65.4,4.4
TX-161,"Freestone County",73.5,106,68.4,5.1
TX-163,"Frio County",81.5,114,76.3,5.2
TX-165,"Gaines County",68.8,75,67.4,1.4
TX-167,"Galveston County",77.1,126,69.1,8.0
TX-169,"Garza County",69.3,74,67.7,1.6
TX-171,"Gillespie County",73.7,101,69.8,3.9
TX-173,"Glasscock County",72.4,89,69.3,3.1
TX-175,"Goliad County",82.2,126,73.7,8.5
TX-177,"Gonzales County",79.3,123,73,6.3
TX-179,"Gray County",65.5,100,60.7,4.8
TX-181,"Grayson County",69.2,104,64.8,4.4
TX-183,"Gregg County",72.3,102,68.1,4.2
TX-185,"Grimes County",77.2,122,70.5,6.7
TX-187,"Guadalupe County",77.9,112,72.9,5.0
TX-189,"Hale County",66.8,84,64.1,2.7
TX-191,"Hall County",68.5,86,65.5,3.0
TX-193,"Hamilton County",73.7,112,67.6,6.1
TX-195,"Hansford County",64.9,96,60.3,4.6
TX-197,"Hardeman County",69.0,90,65.5,3.5
