March 2020 Texas County Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","1901-2000 Mean","Anomaly (1901-2000 base period)"
TX-001,"Anderson County",55.7,125,45.5,10.2
TX-003,"Andrews County",46.1,125,37.8,8.3
TX-005,"Angelina County",57.0,125,46.6,10.4
TX-007,"Aransas County",65.9,126,55.3,10.6
TX-009,"Archer County",48.7,123,40.2,8.5
TX-011,"Armstrong County",40.8,122,33.1,7.7
TX-013,"Atascosa County",58.7,125,50.5,8.2
TX-015,"Austin County",61.2,126,49.2,12.0
TX-017,"Bailey County",39.5,125,31.3,8.2
TX-019,"Bandera County",57.7,126,46.1,11.6
TX-021,"Bastrop County",58.8,126,48.1,10.7
TX-023,"Baylor County",48.1,121,40,8.1
TX-025,"Bee County",62.9,126,52.8,10.1
TX-027,"Bell County",56.0,126,45.6,10.4
TX-029,"Bexar County",58.4,126,49,9.4
TX-031,"Blanco County",56.4,126,45.9,10.5
TX-033,"Borden County",47.9,125,39.6,8.3
TX-035,"Bosque County",53.2,125,45.1,8.1
TX-037,"Bowie County",51.1,123,42.7,8.4
TX-039,"Brazoria County",64.3,126,52.4,11.9
TX-041,"Brazos County",58.9,126,47.5,11.4
TX-043,"Brewster County",48.7,126,41.2,7.5
TX-045,"Briscoe County",42.0,122,34.5,7.5
TX-047,"Brooks County",65.3,126,55.3,10.0
TX-049,"Brown County",51.4,125,42.9,8.5
TX-051,"Burleson County",59.0,126,47.6,11.4
TX-053,"Burnet County",55.3,126,45.6,9.7
TX-055,"Caldwell County",59.4,126,48.4,11.0
TX-057,"Calhoun County",65.4,126,53.9,11.5
TX-059,"Callahan County",50.4,122,42.3,8.1
TX-061,"Cameron County",67.8,126,58.9,8.9
TX-063,"Camp County",52.5,124,44,8.5
TX-065,"Carson County",39.5,122,31.7,7.8
TX-067,"Cass County",52.2,123,44.1,8.1
TX-069,"Castro County",39.5,124,31.1,8.4
TX-071,"Chambers County",62.9,126,52.3,10.6
TX-073,"Cherokee County",55.4,124,45.7,9.7
TX-075,"Childress County",43.7,120,36.5,7.2
TX-077,"Clay County",49.0,123,40.5,8.5
TX-079,"Cochran County",41.0,125,32.8,8.2
TX-081,"Coke County",51.2,126,41.4,9.8
TX-083,"Coleman County",50.6,122,42.8,7.8
TX-085,"Collin County",53.0,124,43.6,9.4
TX-087,"Collingsworth County",41.7,119,35.1,6.6
TX-089,"Colorado County",61.5,126,49.8,11.7
TX-091,"Comal County",58.3,126,47.7,10.6
TX-093,"Comanche County",51.8,125,43.1,8.7
TX-095,"Concho County",51.2,126,42.3,8.9
TX-097,"Cooke County",50.9,123,42.3,8.6
TX-099,"Coryell County",53.7,125,45.4,8.3
TX-101,"Cottle County",44.6,121,37.5,7.1
TX-103,"Crane County",50.7,126,40.9,9.8
TX-105,"Crockett County",52.2,126,42.5,9.7
TX-107,"Crosby County",43.9,123,35.5,8.4
TX-109,"Culberson County",44.1,124,37.3,6.8
TX-111,"Dallam County",34.5,121,28.3,6.2
TX-113,"Dallas County",54.2,124,45.3,8.9
TX-115,"Dawson County",45.9,125,38.2,7.7
TX-117,"Deaf Smith County",38.3,124,30.3,8.0
TX-119,"Delta County",51.4,123,43.3,8.1
TX-121,"Denton County",52.4,124,43.6,8.8
TX-123,"DeWitt County",61.2,126,50.7,10.5
TX-125,"Dickens County",44.8,122,37.2,7.6
TX-127,"Dimmit County",61.2,126,51.1,10.1
TX-129,"Donley County",40.9,120,34.1,6.8
TX-131,"Duval County",63.3,126,53.5,9.8
TX-133,"Eastland County",50.8,124,42,8.8
TX-135,"Ector County",48.2,125,39.1,9.1
TX-137,"Edwards County",55.6,126,45.1,10.5
TX-139,"Ellis County",54.8,124,45.8,9.0
TX-141,"El Paso County",45.8,125,38.9,6.9
TX-143,"Erath County",51.3,125,43.1,8.2
TX-145,"Falls County",55.5,126,45.9,9.6
TX-147,"Fannin County",51.5,124,42.7,8.8
TX-149,"Fayette County",60.0,126,49.1,10.9
TX-151,"Fisher County",49.4,125,40.4,9.0
TX-153,"Floyd County",42.0,122,34,8.0
TX-155,"Foard County",46.3,121,38.6,7.7
TX-157,"Fort Bend County",62.6,126,51,11.6
TX-159,"Franklin County",51.4,121,43.8,7.6
TX-161,"Freestone County",55.8,125,45.5,10.3
TX-163,"Frio County",58.7,124,49.6,9.1
TX-165,"Gaines County",44.4,125,36.7,7.7
TX-167,"Galveston County",64.4,126,53.4,11.0
TX-169,"Garza County",46.4,123,38,8.4
TX-171,"Gillespie County",55.4,126,44.7,10.7
TX-173,"Glasscock County",51.3,126,40.4,10.9
TX-175,"Goliad County",62.6,126,52.2,10.4
TX-177,"Gonzales County",60.1,126,49.7,10.4
TX-179,"Gray County",40.0,121,32.5,7.5
TX-181,"Grayson County",52.1,125,43,9.1
TX-183,"Gregg County",53.4,122,45.2,8.2
TX-185,"Grimes County",59.1,126,47.7,11.4
TX-187,"Guadalupe County",59.2,126,48.9,10.3
TX-189,"Hale County",41.1,123,32.9,8.2
TX-191,"Hall County",42.7,119,35.7,7.0
TX-193,"Hamilton County",52.4,125,44.3,8.1
TX-195,"Hansford County",37.9,120,30.8,7.1
TX-197,"Hardeman County",45.4,120,37.7,7.7
TX-199,"Hardin County",59.6,126,48.8,10.8
TX-201,"Harris County",61.9,126,51.2,10.7
TX-203,"Harrison County",53.4,122,45.5,7.9
TX-205,"Hartley County",36.9,124,29.4,7.5
TX-207,"Haskell County",47.8,120,40.6,7.2
TX-209,"Hays County",58.0,126,47.1,10.9
TX-211,"Hemphill County",40.6,123,32.6,8.0
TX-213,"Henderson County",55.0,125,45.1,9.9
TX-215,"Hidalgo County",66.1,126,57.7,8.4
TX-217,"Hill County",54.3,124,45.7,8.6
TX-219,"Hockley County",42.3,125,33.8,8.5
TX-221,"Hood County",51.8,123,43.9,7.9
TX-223,"Hopkins County",52.2,123,43.8,8.4
TX-225,"Houston County",56.8,125,46.3,10.5
TX-227,"Howard County",50.1,126,40.7,9.4
TX-229,"Hudspeth County",42.5,125,36.1,6.4
TX-231,"Hunt County",53.0,124,43.4,9.6
TX-233,"Hutchinson County",39.8,120,32.3,7.5
TX-235,"Irion County",52.0,126,41.2,10.8
TX-237,"Jack County",49.7,123,41.3,8.4
