March 2020 Texas County Precipitation
Units: Inches
Missing: -99
"Location ID","Location","Value","Rank","1901-2000 Mean","Anomaly (1901-2000 base period)"
TX-001,"Anderson County",5.31,98,3.58,1.73
TX-003,"Andrews County",3.16,126,0.53,2.63
TX-005,"Angelina County",4.22,70,3.91,0.31
TX-007,"Aransas County",0.26,12,1.99,-1.73
TX-009,"Archer County",5.87,126,1.76,4.11
TX-011,"Armstrong County",1.9,105,0.97,0.93
TX-013,"Atascosa County",2.29,101,1.46,0.83
TX-015,"Austin County",2.91,73,2.76,0.15
TX-017,"Bailey County",2.05,115,0.64,1.41
TX-019,"Bandera County",2.28,85,1.82,0.46
TX-021,"Bastrop County",3.03,87,2.34,0.69
TX-023,"Baylor County",5.42,126,1.55,3.87
TX-025,"Bee County",0.78,38,1.72,-0.94
TX-027,"Bell County",3.7,102,2.32,1.38
TX-029,"Bexar County",1.79,67,1.8,-0.01
TX-031,"Blanco County",3.55,110,2,1.55
TX-033,"Borden County",3.57,124,0.78,2.79
TX-035,"Bosque County",5.65,121,2.4,3.25
TX-037,"Bowie County",6.46,106,4.41,2.05
TX-039,"Brazoria County",0.54,9,2.8,-2.26
TX-041,"Brazos County",3.02,73,2.81,0.21
TX-043,"Brewster County",0.66,105,0.35,0.31
TX-045,"Briscoe County",2.29,110,0.99,1.3
TX-047,"Brooks County",0.36,35,1.1,-0.74
TX-049,"Brown County",5.04,125,1.68,3.36
TX-051,"Burleson County",2.88,75,2.66,0.22
TX-053,"Burnet County",4.1,114,2.02,2.08
TX-055,"Caldwell County",2.78,86,2.24,0.54
TX-057,"Calhoun County",0.55,23,2.16,-1.61
TX-059,"Callahan County",4.83,124,1.41,3.42
TX-061,"Cameron County",0.36,42,0.98,-0.62
TX-063,"Camp County",6.65,111,4.02,2.63
TX-065,"Carson County",1.66,98,1.05,0.61
TX-067,"Cass County",6.53,110,4.35,2.18
TX-069,"Castro County",1.85,111,0.74,1.11
TX-071,"Chambers County",0.83,11,3.1,-2.27
TX-073,"Cherokee County",5.44,95,3.83,1.61
TX-075,"Childress County",2.44,112,1.24,1.2
TX-077,"Clay County",6.44,126,2.06,4.38
TX-079,"Cochran County",2.45,118,0.65,1.8
TX-081,"Coke County",4.17,124,1.1,3.07
TX-083,"Coleman County",5.4,125,1.43,3.97
TX-085,"Collin County",10.73,126,3.04,7.69
TX-087,"Collingsworth County",2.11,101,1.31,0.8
TX-089,"Colorado County",1.73,49,2.63,-0.9
TX-091,"Comal County",2.69,86,2.1,0.59
TX-093,"Comanche County",4.15,118,1.84,2.31
TX-095,"Concho County",4.87,125,1.21,3.66
TX-097,"Cooke County",7.56,125,2.74,4.82
TX-099,"Coryell County",4.95,122,2.28,2.67
TX-101,"Cottle County",3.35,121,1.15,2.2
TX-103,"Crane County",1.7,117,0.47,1.23
TX-105,"Crockett County",2.87,120,0.79,2.08
TX-107,"Crosby County",3.11,122,0.85,2.26
TX-109,"Culberson County",1.38,126,0.3,1.08
TX-111,"Dallam County",0.5,59,0.8,-0.3
TX-113,"Dallas County",7.78,125,2.87,4.91
TX-115,"Dawson County",3.08,123,0.7,2.38
TX-117,"Deaf Smith County",1.62,107,0.77,0.85
TX-119,"Delta County",9.45,124,3.69,5.76
TX-121,"Denton County",9.65,126,2.7,6.95
TX-123,"DeWitt County",1.91,66,2.05,-0.14
TX-125,"Dickens County",3.77,122,0.95,2.82
TX-127,"Dimmit County",1.84,105,0.97,0.87
TX-129,"Donley County",1.99,104,1.14,0.85
TX-131,"Duval County",0.57,47,1.27,-0.7
TX-133,"Eastland County",4.46,120,1.73,2.73
TX-135,"Ector County",2.66,125,0.47,2.19
TX-137,"Edwards County",2.97,116,1.17,1.8
TX-139,"Ellis County",6.73,123,2.81,3.92
TX-141,"El Paso County",1.33,126,0.3,1.03
TX-143,"Erath County",4.11,113,1.99,2.12
TX-145,"Falls County",4.64,109,2.59,2.05
TX-147,"Fannin County",8.22,124,3.38,4.84
TX-149,"Fayette County",2.24,66,2.43,-0.19
TX-151,"Fisher County",3.92,124,1.03,2.89
TX-153,"Floyd County",2.89,119,0.9,1.99
TX-155,"Foard County",3.24,118,1.4,1.84
TX-157,"Fort Bend County",1.33,30,2.83,-1.5
TX-159,"Franklin County",7.38,118,3.88,3.5
TX-161,"Freestone County",5.67,108,3.17,2.5
TX-163,"Frio County",2.17,99,1.29,0.88
TX-165,"Gaines County",2.92,122,0.6,2.32
TX-167,"Galveston County",0.47,8,2.83,-2.36
TX-169,"Garza County",3.19,120,0.82,2.37
TX-171,"Gillespie County",3.79,117,1.78,2.01
TX-173,"Glasscock County",3.57,124,0.7,2.87
TX-175,"Goliad County",0.72,32,1.96,-1.24
TX-177,"Gonzales County",2.21,74,2.12,0.09
TX-179,"Gray County",2.01,102,1.18,0.83
TX-181,"Grayson County",8.59,125,3.03,5.56
TX-183,"Gregg County",5.94,103,4,1.94
TX-185,"Grimes County",3.79,86,2.95,0.84
TX-187,"Guadalupe County",2.83,93,1.99,0.84
TX-189,"Hale County",2.58,120,0.78,1.8
TX-191,"Hall County",2.21,110,1.07,1.14
TX-193,"Hamilton County",4.81,123,2.08,2.73
TX-195,"Hansford County",1.31,91,1.07,0.24
TX-197,"Hardeman County",2.82,112,1.43,1.39
TX-199,"Hardin County",1.49,18,3.63,-2.14
TX-201,"Harris County",2.27,55,3.02,-0.75
TX-203,"Harrison County",6.26,108,4.2,2.06
TX-205,"Hartley County",0.89,86,0.81,0.08
TX-207,"Haskell County",4.56,125,1.24,3.32
TX-209,"Hays County",3.29,99,2.19,1.1
TX-211,"Hemphill County",2.09,104,1.27,0.82
TX-213,"Henderson County",5.74,110,3.38,2.36
TX-215,"Hidalgo County",0.51,51,1.01,-0.5
TX-217,"Hill County",6.26,120,2.72,3.54
TX-219,"Hockley County",2.59,119,0.7,1.89
TX-221,"Hood County",5.58,120,2.23,3.35
TX-223,"Hopkins County",8.54,123,3.74,4.8
TX-225,"Houston County",4.39,89,3.5,0.89
TX-227,"Howard County",3.77,123,0.78,2.99
TX-229,"Hudspeth County",1.41,126,0.3,1.11
TX-231,"Hunt County",7.8,123,3.41,4.39
TX-233,"Hutchinson County",1.42,92,1.05,0.37
TX-235,"Irion County",3.79,124,0.99,2.8
TX-237,"Jack County",8.08,126,2.09,5.99
TX-239,"Jackson County",0.92,32,2.42,-1.5
TX-241,"Jasper County",3.11,44,4.09,-0.98
TX-243,"Jeff Davis County",1.12,117,0.38,0.74
TX-245,"Jefferson County",0.69,6,3.39,-2.7
TX-247,"Jim Hogg County",0.34,34,1.1,-0.76
TX-249,"Jim Wells County",0.62,42,1.35,-0.73
TX-251,"Johnson County",6.67,121,2.61,4.06
TX-253,"Jones County",4.54,125,1.14,3.4
TX-255,"Karnes County",1.69,70,1.7,-0.01
TX-257,"Kaufman County",5.82,117,3.09,2.73
TX-259,"Kendall County",2.67,92,2.03,0.64
TX-261,"Kenedy County",0.49,40,1.16,-0.67
TX-263,"Kent County",4.09,124,0.92,3.17
TX-265,"Kerr County",3.43,115,1.7,1.73
TX-267,"Kimble County",4.4,125,1.29,3.11
TX-269,"King County",4.03,124,1.12,2.91
TX-271,"Kinney County",1.92,104,1.02,0.9
TX-273,"Kleberg County",0.31,21,1.36,-1.05
TX-275,"Knox County",4.04,124,1.33,2.71
TX-277,"Lamar County",8.79,124,3.75,5.04
TX-279,"Lamb County",2.31,118,0.7,1.61
TX-281,"Lampasas County",4.27,116,2.03,2.24
TX-283,"La Salle County",2.57,109,1.17,1.4
TX-285,"Lavaca County",1.53,44,2.41,-0.88
TX-287,"Lee County",2.9,78,2.47,0.43
TX-289,"Leon County",4.9,104,3.19,1.71
TX-291,"Liberty County",1.97,34,3.32,-1.35
TX-293,"Limestone County",5.46,112,2.9,2.56
TX-295,"Lipscomb County",1.83,96,1.32,0.51
TX-297,"Live Oak County",1.37,67,1.52,-0.15
TX-299,"Llano County",4.26,121,1.74,2.52
TX-301,"Loving County",1.5,122,0.34,1.16
TX-303,"Lubbock County",2.34,117,0.76,1.58
TX-305,"Lynn County",2.56,119,0.74,1.82
TX-307,"McCulloch County",5.11,126,1.38,3.73
TX-309,"McLennan County",6.26,122,2.55,3.71
TX-311,"McMullen County",1.96,88,1.36,0.6
TX-313,"Madison County",3.59,80,3.12,0.47
TX-315,"Marion County",6.21,104,4.24,1.97
TX-317,"Martin County",3.78,126,0.65,3.13
TX-319,"Mason County",4.95,125,1.48,3.47
TX-321,"Matagorda County",0.48,12,2.52,-2.04
TX-323,"Maverick County",1.39,95,0.86,0.53
TX-325,"Medina County",1.38,60,1.58,-0.2
TX-327,"Menard County",4.82,125,1.2,3.62
TX-329,"Midland County",3.09,126,0.53,2.56
TX-331,"Milam County",3.22,88,2.51,0.71
TX-333,"Mills County",4.53,123,1.88,2.65
TX-335,"Mitchell County",3.47,122,0.94,2.53
TX-337,"Montague County",6.97,124,2.41,4.56
TX-339,"Montgomery County",4.2,87,3.14,1.06
TX-341,"Moore County",1.35,96,0.91,0.44
TX-343,"Morris County",6.44,109,4.17,2.27
TX-345,"Motley County",2.56,117,1,1.56
TX-347,"Nacogdoches County",4.82,82,3.96,0.86
TX-349,"Navarro County",6.36,119,2.97,3.39
TX-351,"Newton County",3.75,61,4.25,-0.5
TX-353,"Nolan County",3.66,123,1.14,2.52
TX-355,"Nueces County",0.5,28,1.57,-1.07
TX-357,"Ochiltree County",1.59,93,1.18,0.41
TX-359,"Oldham County",1.46,104,0.82,0.64
TX-361,"Orange County",1.03,10,3.66,-2.63
TX-363,"Palo Pinto County",6.03,124,1.96,4.07
TX-365,"Panola County",6.16,103,4.17,1.99
TX-367,"Parker County",6.56,124,2.33,4.23
TX-369,"Parmer County",1.69,110,0.7,0.99
TX-371,"Pecos County",1.27,111,0.51,0.76
TX-373,"Polk County",3.88,71,3.72,0.16
TX-375,"Potter County",1.64,104,0.9,0.74
TX-377,"Presidio County",0.85,113,0.31,0.54
TX-379,"Rains County",7.1,121,3.45,3.65
TX-381,"Randall County",1.74,106,0.87,0.87
TX-383,"Reagan County",2.98,123,0.75,2.23
TX-385,"Real County",2.47,103,1.47,1.0
TX-387,"Red River County",7.72,116,4.09,3.63
TX-389,"Reeves County",0.97,112,0.35,0.62
TX-391,"Refugio County",0.39,18,2,-1.61
TX-393,"Roberts County",1.82,101,1.15,0.67
TX-395,"Robertson County",3.68,91,2.76,0.92
TX-397,"Rockwall County",7.29,121,3.12,4.17
TX-399,"Runnels County",4.54,125,1.21,3.33
TX-401,"Rusk County",6.23,108,3.97,2.26
TX-403,"Sabine County",4.89,77,4.4,0.49
TX-405,"San Augustine County",4.49,72,4.2,0.29
TX-407,"San Jacinto County",3.92,77,3.47,0.45
TX-409,"San Patricio County",0.53,29,1.76,-1.23
TX-411,"San Saba County",4.54,124,1.75,2.79
TX-413,"Schleicher County",3.86,125,1.01,2.85
TX-415,"Scurry County",3.79,123,0.89,2.9
TX-417,"Shackelford County",5.53,126,1.42,4.11
TX-419,"Shelby County",5.02,90,4.21,0.81
TX-421,"Sherman County",1.03,82,0.93,0.1
TX-423,"Smith County",6.04,111,3.78,2.26
TX-425,"Somervell County",5.1,120,2.26,2.84
TX-427,"Starr County",0.38,46,0.93,-0.55
TX-429,"Stephens County",5.73,124,1.67,4.06
TX-431,"Sterling County",3.76,122,0.96,2.8
TX-433,"Stonewall County",4.38,124,1.07,3.31
TX-435,"Sutton County",3.78,125,1.01,2.77
TX-437,"Swisher County",2.1,110,0.85,1.25
TX-439,"Tarrant County",7.52,125,2.58,4.94
TX-441,"Taylor County",4.31,125,1.23,3.08
TX-443,"Terrell County",1.15,114,0.45,0.7
TX-445,"Terry County",2.51,119,0.68,1.83
TX-447,"Throckmorton County",5.32,126,1.55,3.77
TX-449,"Titus County",6.66,108,4.06,2.6
TX-451,"Tom Green County",4.18,124,1.08,3.1
